
Iteratia 1 : 	x0 = 13.99999835634516		delta = 1.6436548403856987e-06
Iteratia 2 : 	x0 = 13.999996712689237		delta = 1.6436559224113048e-06
Iteratia 3 : 	x0 = 13.999995069032233		delta = 1.6436570044388828e-06
Iteratia 4 : 	x0 = 13.999993425374146		delta = 1.6436580864679212e-06
Iteratia 5 : 	x0 = 13.999991781714979		delta = 1.643659168498348e-06
Iteratia 6 : 	x0 = 13.999990138054729		delta = 1.6436602505305997e-06
Iteratia 7 : 	x0 = 13.999988494393396		delta = 1.6436613325643848e-06
Iteratia 8 : 	x0 = 13.99998685073098		delta = 1.64366241459941e-06
Iteratia 9 : 	x0 = 13.999985207067484		delta = 1.6436634966366255e-06
Iteratia 10 : 	x0 = 13.999983563402905		delta = 1.6436645786746455e-06
Iteratia 11 : 	x0 = 13.999981919737245		delta = 1.6436656607144174e-06
Iteratia 12 : 	x0 = 13.999980276070502		delta = 1.6436667427563067e-06
Iteratia 13 : 	x0 = 13.999978632402678		delta = 1.6436678247990733e-06
Iteratia 14 : 	x0 = 13.99997698873377		delta = 1.6436689068437385e-06
Iteratia 15 : 	x0 = 13.999975345063781		delta = 1.6436699888902996e-06
Iteratia 16 : 	x0 = 13.99997370139271		delta = 1.6436710709378115e-06
Iteratia 17 : 	x0 = 13.999972057720557		delta = 1.6436721529872212e-06
Iteratia 18 : 	x0 = 13.999970414047322		delta = 1.6436732350380922e-06
Iteratia 19 : 	x0 = 13.999968770373005		delta = 1.6436743170908607e-06
Iteratia 20 : 	x0 = 13.999967126697607		delta = 1.6436753991449448e-06
Iteratia 21 : 	x0 = 13.999965483021125		delta = 1.6436764812005625e-06
Iteratia 22 : 	x0 = 13.999963839343561		delta = 1.6436775632576385e-06
Iteratia 23 : 	x0 = 13.999962195664915		delta = 1.6436786453165413e-06
Iteratia 24 : 	x0 = 13.999960551985188		delta = 1.643679727376904e-06
Iteratia 25 : 	x0 = 13.999958908304379		delta = 1.6436808094387275e-06
Iteratia 26 : 	x0 = 13.999957264622488		delta = 1.6436818915017928e-06
Iteratia 27 : 	x0 = 13.999955620939515		delta = 1.643682973566975e-06
Iteratia 28 : 	x0 = 13.999953977255458		delta = 1.643684055633546e-06
Iteratia 29 : 	x0 = 13.99995233357032		delta = 1.6436851377018672e-06
Iteratia 30 : 	x0 = 13.9999506898841		delta = 1.6436862197712118e-06
Iteratia 31 : 	x0 = 13.999949046196798		delta = 1.6436873018426e-06
Iteratia 32 : 	x0 = 13.999947402508415		delta = 1.6436883839157412e-06
Iteratia 33 : 	x0 = 13.99994575881895		delta = 1.643689465989979e-06
Iteratia 34 : 	x0 = 13.999944115128402		delta = 1.643690548065896e-06
Iteratia 35 : 	x0 = 13.999942471436771		delta = 1.643691630143785e-06
Iteratia 36 : 	x0 = 13.999940827744059		delta = 1.6436927122228402e-06
Iteratia 37 : 	x0 = 13.999939184050264		delta = 1.6436937943035035e-06
Iteratia 38 : 	x0 = 13.999937540355388		delta = 1.643694876385845e-06
Iteratia 39 : 	x0 = 13.99993589665943		delta = 1.6436959584694284e-06
Iteratia 40 : 	x0 = 13.99993425296239		delta = 1.643697040554985e-06
